tipo_serv;numos;datasol;dataven;datater_trab;TD;TE;equipe;dthaps_ini;dthaps_fim_ajustado;inicio_turno;fim_turno;dth_chegada_estimada;dth_final_estimada;fim_turno_estimado;eta_source;base_lon;base_lat;tipo_base;abrangencia;defeito_falha;localidade;localizacao;nox;noy;dh_inicio;dh_alocacao;dh_chegada;dh_final;tp;td;te;ano;mes;eusd;eusd_fio_b;latitude;longitude;dt_ref;prioridade;violacao;tipserv;codserv;data_sol;data_venc;num_cdc;datasaida;datainitrab;datatertrab;job_id_vroom;distancia_vroom;duracao_vroom
comercial;95045604;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:50:02;4,25;5,17;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 07:53:12;2023-02-14 07:58:22;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,25;5,17;2023;2;12,63;12,63;-8,766255;-63,874379;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1066244;2023-02-14 08:40:37;2023-02-14 08:44:52;2023-02-14 08:50:02;95045604;;3955
comercial;95045543;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:59:07;4,72;3,02;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 06:49:17;2023-02-14 06:52:18;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,72;3,02;2023;2;108,94;108,94;-8,80422;-63,873989;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;2043563;2023-02-14 08:51:23;2023-02-14 08:56:06;2023-02-14 08:59:07;95045543;;3955
comercial;95045504;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 10:01:59;4,85;12,43;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 07:19:30;2023-02-14 07:31:55;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,85;12,43;2023;2;12,63;12,63;-8,752676;-63,824715;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1257498;2023-02-14 09:44:42;2023-02-14 09:49:33;2023-02-14 10:01:59;95045504;;3955
comercial;95045516;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:43:13;19,97;1,48;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 06:13:56;2023-02-14 06:15:24;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;19,97;1,48;2023;2;23,0;23,0;-8,777203;-63,883373;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;2229373;2023-02-14 08:21:46;2023-02-14 08:41:44;2023-02-14 08:43:13;95045516;;3955
comercial;95045431;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 09:43:47;4,15;1,6;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 07:33:24;2023-02-14 07:35:00;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,15;1,6;2023;2;46,5;46,5;-8,758574;-63,825386;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;2233993;2023-02-14 09:38:02;2023-02-14 09:42:11;2023-02-14 09:43:47;95045431;;3955
comercial;95045604;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:50:02;4,25;5,17;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 07:48:02;2023-02-14 07:53:12;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,25;5,17;2023;2;12,63;12,63;-8,766255;-63,874379;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1066244;2023-02-14 08:40:37;2023-02-14 08:44:52;2023-02-14 08:50:02;950456041;;3955
comercial;95045463;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 09:22:44;3,08;6,27;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 06:32:29;2023-02-14 06:38:45;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;3,08;6,27;2023;2;62,68;62,68;-8,801219;-63,879542;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;61628;2023-02-14 09:13:23;2023-02-14 09:16:28;2023-02-14 09:22:44;95045463;;3955
comercial;95045471;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 16:25:15;5,82;3,13;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 06:21:50;2023-02-14 06:24:57;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;5,82;3,13;2023;2;108,94;108,94;-8,790801;-63,883799;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1284641;2023-02-14 16:16:18;2023-02-14 16:22:07;2023-02-14 16:25:15;95045471;;3955
comercial;95045815;2023-02-14 04:07:01;2023-02-15 08:00:00;2023-02-14 10:41:57;1,75;2,07;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 06:44:27;2023-02-14 06:46:31;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;1,75;2,07;2023;2;74,06;74,06;-8,813213;-63,88164;2023-02-14;1,8607378037238864;0,0;C;3,0;2023-02-14 04:07:01;2023-02-15 08:00:00;67199;2023-02-14 10:38:08;2023-02-14 10:39:53;2023-02-14 10:41:57;95045815;;3955
comercial;95045604;2023-02-14 03:15:34;2023-02-15 08:00:00;2023-02-14 08:50:02;4,25;5,17;PVLSN81;2023-02-14 06:00:23;2023-02-14 15:24:31;2023-02-14 06:00:00;2023-02-14 15:00:00;2023-02-14 07:42:52;2023-02-14 07:48:02;2023-02-14 08:03:53;VROOM;-63,885464691387746;-8,738508095069408;;;;;;;;;;;;;4,25;5,17;2023;2;12,63;12,63;-8,766255;-63,874379;2023-02-14;1,835056926913189;0,0;C;3,0;2023-02-14 03:15:34;2023-02-15 08:00:00;1066244;2023-02-14 08:40:37;2023-02-14 08:44:52;2023-02-14 08:50:02;950456042;;3955
